loss_D_fake,loss_D_real,loss_D,loss_G_GAN,loss_G_L1,loss_G
0.49158,0.58110,0.53634,1.35540,10.79053,12.14593
0.49305,0.57401,0.53353,1.32581,10.74094,12.06675
0.49672,0.57059,0.53365,1.31620,10.79203,12.10823
0.50022,0.57253,0.53638,1.31766,10.83115,12.14881
0.49930,0.57430,0.53680,1.31610,10.84896,12.16506
0.49790,0.57361,0.53575,1.31688,10.85682,12.17370
0.49584,0.57126,0.53355,1.31906,10.89205,12.21112
0.49699,0.57200,0.53450,1.31652,10.87174,12.18826
0.53404,0.60070,0.56737,1.31591,10.92022,12.23613
0.50623,0.58988,0.54806,1.36134,10.78652,12.14786
0.50098,0.57872,0.53985,1.33782,10.70123,12.03905
0.50458,0.57489,0.53974,1.32067,10.75339,12.07406
0.50058,0.57091,0.53574,1.32414,10.79468,12.11882
0.50025,0.57380,0.53702,1.33291,10.81076,12.14367
0.49859,0.57422,0.53640,1.33589,10.80182,12.13772
0.49380,0.56805,0.53092,1.33946,10.82843,12.16788
0.49644,0.57019,0.53332,1.33294,10.81064,12.14358
0.52669,0.58940,0.55805,1.34052,10.73942,12.07994
0.49644,0.57414,0.53529,1.36605,10.60036,11.96641
0.50062,0.57638,0.53850,1.34117,10.58296,11.92414
0.50315,0.57058,0.53687,1.32777,10.61943,11.94720
0.49919,0.56399,0.53159,1.33484,10.65625,11.99108
0.49489,0.56579,0.53034,1.34556,10.67306,12.01862
0.49468,0.56787,0.53128,1.35036,10.67799,12.02834
0.49123,0.56340,0.52732,1.35347,10.71305,12.06652
0.49430,0.56535,0.52982,1.35032,10.69711,12.04743
0.51702,0.57718,0.54710,1.30460,10.61197,11.91657
0.48083,0.56414,0.52249,1.34047,10.51411,11.85458
0.48541,0.56164,0.52352,1.33991,10.46326,11.80317
0.49424,0.55998,0.52711,1.33522,10.53228,11.86750
0.49557,0.56693,0.53125,1.33522,10.61989,11.95511
0.49853,0.56751,0.53302,1.34373,10.63151,11.97525
0.49469,0.56433,0.52951,1.35385,10.61805,11.97190
0.49395,0.56427,0.52911,1.35602,10.65317,12.00919
0.49459,0.56321,0.52890,1.34933,10.63449,11.98382
0.52256,0.57138,0.54697,1.33004,10.43697,11.76701
0.48756,0.55950,0.52353,1.37835,10.36333,11.74168
0.49142,0.56123,0.52632,1.35321,10.33359,11.68680
0.49394,0.55774,0.52584,1.33792,10.41644,11.75436
0.49411,0.55930,0.52671,1.34413,10.46490,11.80903
0.49653,0.56064,0.52859,1.34670,10.48553,11.83223
0.49470,0.55937,0.52704,1.34863,10.48629,11.83492
0.49321,0.55806,0.52564,1.34917,10.52670,11.87586
0.49362,0.55666,0.52514,1.35321,10.50289,11.85609
0.51655,0.56886,0.54271,1.33281,10.53099,11.86379
0.48319,0.56202,0.52261,1.37038,10.40716,11.77754
0.48651,0.55698,0.52174,1.36198,10.33226,11.69424
0.49543,0.55606,0.52575,1.35622,10.35984,11.71607
0.49234,0.55897,0.52566,1.35625,10.40638,11.76262
0.49457,0.56079,0.52768,1.35829,10.42735,11.78564
0.49229,0.55969,0.52599,1.36231,10.42640,11.78871
0.48911,0.55616,0.52263,1.36219,10.45418,11.81637
0.49087,0.55611,0.52349,1.35827,10.43927,11.79754
0.52976,0.59204,0.56090,1.33308,10.47547,11.80854
0.49890,0.57302,0.53596,1.36150,10.28116,11.64266
0.49872,0.56825,0.53349,1.34257,10.20332,11.54589
0.50660,0.56487,0.53574,1.33635,10.24126,11.57761
0.50185,0.56674,0.53429,1.33983,10.29195,11.63177
0.50041,0.56667,0.53354,1.34833,10.30127,11.64960
0.50031,0.56635,0.53333,1.34981,10.30232,11.65213
0.49670,0.56213,0.52941,1.34820,10.32643,11.67464
0.49415,0.55940,0.52677,1.34714,10.30585,11.65299
0.53627,0.58081,0.55854,1.31930,10.26458,11.58388
0.49858,0.56639,0.53249,1.36512,10.15191,11.51703
0.49981,0.56703,0.53342,1.33664,10.09046,11.42710
0.50738,0.56465,0.53602,1.31985,10.14256,11.46241
0.50662,0.56339,0.53501,1.32196,10.20019,11.52215
0.50647,0.56524,0.53585,1.32641,10.21491,11.54132
0.50663,0.56666,0.53665,1.33803,10.21103,11.54906
0.50368,0.56448,0.53408,1.33747,10.24055,11.57802
0.50180,0.56190,0.53185,1.33333,10.21196,11.54529
0.51887,0.59237,0.55562,1.31096,10.18292,11.49388
0.48667,0.55842,0.52254,1.34291,10.02063,11.36354
0.49316,0.55201,0.52258,1.33248,9.94927,11.28175
0.50412,0.55476,0.52944,1.32429,9.98029,11.30458
0.50233,0.55484,0.52859,1.33024,10.03982,11.37006
0.50236,0.55744,0.52990,1.32968,10.05799,11.38767
0.50180,0.55738,0.52959,1.33782,10.06229,11.40011
0.49817,0.55472,0.52645,1.33677,10.07782,11.41460
0.49879,0.55548,0.52713,1.33169,10.06652,11.39821
0.51940,0.56597,0.54269,1.32748,9.96996,11.29743
0.49900,0.55709,0.52805,1.33514,9.90707,11.24221
0.50117,0.55952,0.53035,1.31292,9.83502,11.14794
0.50708,0.55120,0.52914,1.31240,9.86394,11.17634
0.50561,0.55415,0.52988,1.32512,9.94199,11.26711
0.50337,0.55511,0.52924,1.33211,9.95809,11.29020
0.50255,0.55718,0.52986,1.34104,9.97850,11.31953
0.50110,0.55469,0.52789,1.33930,9.99859,11.33788
0.50215,0.55646,0.52930,1.34121,9.98345,11.32466
0.52585,0.57498,0.55042,1.29902,9.94753,11.24656
0.49732,0.54886,0.52309,1.33505,9.82129,11.15634
0.49672,0.54851,0.52262,1.31814,9.72553,11.04367
0.50337,0.54466,0.52402,1.31816,9.75737,11.07552
0.50120,0.54806,0.52463,1.32753,9.82681,11.15434
0.49863,0.54803,0.52333,1.33637,9.85209,11.18846
